date,site,replicate,concentration
3/23/2018,s1,c,0.133
3/23/2018,s2,a,0.093
3/23/2018,s2,b,0.101
3/23/2018,s2,c,0.107
3/23/2018,s3,a,0.173
3/23/2018,s3,b,0.152
3/23/2018,s3,c,0.175
3/23/2018,s4,a,0.179
3/23/2018,s4,b,0.16
3/23/2018,s4,c,0.186
3/23/2018,s5,a,0.185
3/23/2018,s5,b,0.166
3/23/2018,s5,c,0.181
3/23/2018,s6,a,0.189
3/23/2018,s6,b,0.198
3/23/2018,s6,c,0.227
3/23/2018,s7,a,0.192
3/23/2018,s7,b,0.144
3/23/2018,s7,c,0.188
3/23/2018,s8,a,0.23
3/23/2018,s8,b,0.175
3/23/2018,s8,c,0.246
3/23/2018,s9,a,0.193
3/23/2018,s9,b,0.182
3/23/2018,s9,c,0.185
3/23/2018,s10,a,0.142
3/23/2018,s10,b,0.142
3/23/2018,s10,c,0.133
3/23/2018,s11,a,0.06
3/23/2018,s11,b,0.051
3/23/2018,s11,c,0.049
3/23/2018,s12,a,0.049
3/23/2018,s12,b,0.047
3/23/2018,s12,c,0.042
3/23/2018,s13,a,0.012
3/23/2018,s13,b,0.012
3/23/2018,s13,c,0.012
4/21/2018,s1,a,0.137
4/21/2018,s1,b,0.146
4/21/2018,s1,c,0.16
4/21/2018,s2,a,0.174
4/21/2018,s2,b,0.128
4/21/2018,s2,c,0.151
4/21/2018,s3,a,0.176
4/21/2018,s3,b,0.179
4/21/2018,s3,c,0.166
4/21/2018,s4,a,0.161
4/21/2018,s4,b,0.155
4/21/2018,s4,c,0.136
4/21/2018,s5,a,0.167
4/21/2018,s5,b,0.167
4/21/2018,s5,c,0.152
4/21/2018,s6,a,0.156
4/21/2018,s6,b,0.133
4/21/2018,s6,c,0.153
4/21/2018,s7,a,0.123
4/21/2018,s7,b,0.102
4/21/2018,s7,c,0.096
4/21/2018,s8,a,0.075
4/21/2018,s8,b,0.086
4/21/2018,s8,c,0.084
4/21/2018,s9,a,0.088
4/21/2018,s9,b,0.099
4/21/2018,s9,c,0.084
4/21/2018,s10,a,0.06
4/21/2018,s10,b,0.08
4/21/2018,s10,c,0.081
4/21/2018,s11,a,0.071
4/21/2018,s11,b,0.069
4/21/2018,s11,c,0.06
4/21/2018,s12,a,0.077
4/21/2018,s12,b,0.065
4/21/2018,s12,c,0.072
4/21/2018,s13,a,0.082
4/21/2018,s13,b,0.073
4/21/2018,s13,c,0.091
5/16/2018,s1,a,0.046
5/16/2018,s1,b,0.051
5/16/2018,s1,c,0.041
5/16/2018,s2,a,0.032
5/16/2018,s2,b,0.031
5/16/2018,s2,c,0.035
5/16/2018,s3,a,0.07
5/16/2018,s3,b,0.059
5/16/2018,s3,c,0.06
5/16/2018,s4,a,0.058
5/16/2018,s4,b,0.068
5/16/2018,s4,c,0.06
5/16/2018,s5,a,0.059
5/16/2018,s5,b,0.063
5/16/2018,s5,c,0.064
5/16/2018,s6,a,0.062
5/16/2018,s6,b,0.073
5/16/2018,s6,c,0.078
5/16/2018,s7,a,0.086
5/16/2018,s7,b,0.086
5/16/2018,s7,c,0.083
5/16/2018,s8,a,0.086
5/16/2018,s8,b,0.086
5/16/2018,s8,c,0.086
5/16/2018,s9,a,0.032
5/16/2018,s9,b,0.0268
5/16/2018,s9,c,0.0338
5/16/2018,s10,a,0.0294
5/16/2018,s10,b,0.0364
5/16/2018,s10,c,0.0259
5/16/2018,s11,a,0.039
5/16/2018,s11,b,0.039
5/16/2018,s11,c,0.0372
5/16/2018,s12,a,0.025
5/16/2018,s12,b,0.0259
5/16/2018,s12,c,0.025
5/16/2018,s13,a,0.0259
5/16/2018,s13,b,0.0172
5/16/2018,s13,c,0.0189
6/6/2018,s1,a,0.0172
6/6/2018,s1,b,0.0137
6/6/2018,s1,c,0.0137
6/6/2018,s2,a,0.0102
6/6/2018,s2,b,0.0137
6/6/2018,s2,c,0.0146
6/6/2018,s3,a,0.0277
6/6/2018,s3,b,0.0189
6/6/2018,s3,c,0.0216
6/6/2018,s4,a,0.0207
6/6/2018,s4,b,0.0128
6/6/2018,s4,c,0.0155
6/6/2018,s5,a,0.0198
6/6/2018,s5,b,0.0137
6/6/2018,s5,c,0.0233
6/6/2018,s6,a,0.0181
6/6/2018,s6,b,0.0233
6/6/2018,s6,c,0.025
6/6/2018,s7,a,0.0303
6/6/2018,s7,b,0.0303
6/6/2018,s7,c,0.032
6/6/2018,s8,a,0.032
6/6/2018,s8,b,0.0259
6/6/2018,s8,c,0.0242
6/6/2018,s9,a,0.0285
6/6/2018,s9,b,0.0579
6/6/2018,s9,c,0.0399
6/6/2018,s10,a,0.0399
6/6/2018,s10,b,0.0355
6/6/2018,s10,c,0.0407
6/6/2018,s11,a,0.0399
6/6/2018,s11,b,0.0399
6/6/2018,s11,c,0.0346
6/6/2018,s12,a,0.0277
6/6/2018,s12,b,0.025
6/6/2018,s12,c,0.0277
6/6/2018,s13,a,0.0311
6/6/2018,s13,b,0.0224
6/6/2018,s13,c,0.0207
6/20/2018,s1,a,0.0259
6/20/2018,s1,b,0.0233
6/20/2018,s1,c,0.0128
6/20/2018,s2,a,0.0146
6/20/2018,s2,b,0.0146
6/20/2018,s2,c,0.0189
6/20/2018,s3,a,0.0181
6/20/2018,s3,b,0.0137
6/20/2018,s3,c,0.0207
6/20/2018,s4,a,0.0198
6/20/2018,s4,b,0.0181
